Starting the process.
Current path: /home/acam/Projects/virus-cleanup-tool
dolor-dolorem.lhs => dolor-dolorem.txt
porro.-Sed.lhs => porro.-Sed.txt
aliquam.lhs => aliquam.txt
ut.lhs => ut.txt
ipsum.lhs => ipsum.txt
sed-ipsum.lhs => sed-ipsum.txt
quiquia-quiquia.lhs => quiquia-quiquia.txt
quiquia.-consectetur.-dolore.lhs => quiquia.-consectetur.-dolore.txt
Adipisci.lhs => Adipisci.txt
amet-labore.lhs => amet-labore.txt
non-dolorem-amet.lhs => non-dolorem-amet.txt
quiquia.lhs => quiquia.txt
porro-dolorem.lhs => porro-dolorem.txt
sed.-porro.lhs => sed.-porro.txt
Voluptatem-neque.lhs => Voluptatem-neque.txt
consectetur-voluptatem-porro.lhs => consectetur-voluptatem-porro.txt
adipisci-non-Neque.lhs => adipisci-non-Neque.txt
labore-Aliquam_1.lhs => labore-Aliquam_1.txt
labore-consectetur.lhs => labore-consectetur.txt
modi-sed.-ipsum.lhs => modi-sed.-ipsum.txt
ipsum-Voluptatem.lhs => ipsum-Voluptatem.txt
Sed_1.lhs => Sed_1.txt
magnam-est.lhs => magnam-est.txt
dolorem.-Dolorem.lhs => dolorem.-Dolorem.txt
sed-dolore.lhs => sed-dolore.txt
Velit-magnam.lhs => Velit-magnam.txt
neque.lhs => neque.txt
velit-velit.lhs => velit-velit.txt
quiquia-velit-porro.lhs => quiquia-velit-porro.txt
quisquam_1.lhs => quisquam_1.txt
tempora.lhs => tempora.txt
sit-quisquam-non.lhs => sit-quisquam-non.txt
quisquam-adipisci.lhs => quisquam-adipisci.txt
consectetur-numquam-voluptatem.lhs => consectetur-numquam-voluptatem.txt
Quisquam.lhs => Quisquam.txt
ut-adipisci.lhs => ut-adipisci.txt
Neque_1.lhs => Neque_1.txt
Labore-Quaerat-ut.lhs => Labore-Quaerat-ut.txt
Ipsum_1.lhs => Ipsum_1.txt
sed.-sed.lhs => sed.-sed.txt
sed.lhs => sed.txt
Labore-Aliquam.lhs => Labore-Aliquam.txt
non_1.lhs => non_1.txt
Aliquam-eius.lhs => Aliquam-eius.txt
Dolor.lhs => Dolor.txt
Non.lhs => Non.txt
est_1.lhs => est_1.txt
Numquam_1.lhs => Numquam_1.txt
Dolor-tempora.lhs => Dolor-tempora.txt
quaerat.lhs => quaerat.txt
Etincidunt-numquam.lhs => Etincidunt-numquam.txt
Quaerat_1.lhs => Quaerat_1.txt
dolor.-amet.lhs => dolor.-amet.txt
labore-ut-tempora.lhs => labore-ut-tempora.txt
Quisquam-eius.lhs => Quisquam-eius.txt
Non-dolor.lhs => Non-dolor.txt
dolorem.-tempora-Ut.lhs => dolorem.-tempora-Ut.txt
eius-Dolorem.lhs => eius-Dolorem.txt
Labore-non-Quaerat.lhs => Labore-non-Quaerat.txt
eius.-sed.lhs => eius.-sed.txt
Numquam-porro.-neque.lhs => Numquam-porro.-neque.txt
neque-dolore-modi.lhs => neque-dolore-modi.txt
Dolore.lhs => Dolore.txt
sed-neque.lhs => sed-neque.txt
amet.-Voluptatem-amet.lhs => amet.-Voluptatem-amet.txt
voluptatem-aliquam-voluptatem.lhs => voluptatem-aliquam-voluptatem.txt
sit.lhs => sit.txt
aliquam-adipisci.lhs => aliquam-adipisci.txt
sit-est-dolorem.lhs => sit-est-dolorem.txt
velit.lhs => velit.txt
dolore-magnam.lhs => dolore-magnam.txt
etincidunt_1.lhs => etincidunt_1.txt
porro-labore.lhs => porro-labore.txt
Dolorem.lhs => Dolorem.txt
ipsum.-dolorem-quisquam.lhs => ipsum.-dolorem-quisquam.txt
Neque-ut.lhs => Neque-ut.txt
quisquam-ipsum.lhs => quisquam-ipsum.txt
labore.-dolor-consectetur.lhs => labore.-dolor-consectetur.txt
dolore-eius.lhs => dolore-eius.txt
sit-Consectetur.lhs => sit-Consectetur.txt
Dolore-sed.lhs => Dolore-sed.txt
Magnam_1.lhs => Magnam_1.txt
Quiquia-Dolor.lhs => Quiquia-Dolor.txt
eius.lhs => eius.txt
neque-neque.lhs => neque-neque.txt
numquam.-porro-neque.lhs => numquam.-porro-neque.txt
sit-est.lhs => sit-est.txt
Tempora_1.lhs => Tempora_1.txt
dolore_1.lhs => dolore_1.txt
dolorem_1.lhs => dolorem_1.txt
Sed-consectetur-quiquia.lhs => Sed-consectetur-quiquia.txt
voluptatem.lhs => voluptatem.txt
modi-quiquia.lhs => modi-quiquia.txt
amet.lhs => amet.txt
dolor-modi.lhs => dolor-modi.txt
Etincidunt.lhs => Etincidunt.txt
neque-amet-non.lhs => neque-amet-non.txt
magnam.-quaerat-dolore.lhs => magnam.-quaerat-dolore.txt
numquam-ipsum.lhs => numquam-ipsum.txt
Labore_1.lhs => Labore_1.txt
consectetur-magnam.lhs => consectetur-magnam.txt
non-ipsum.lhs => non-ipsum.txt
neque-dolor.lhs => neque-dolor.txt
velit-dolorem-sit.lhs => velit-dolorem-sit.txt
labore.lhs => labore.txt
magnam.lhs => magnam.txt
adipisci-labore.lhs => adipisci-labore.txt
est-labore.lhs => est-labore.txt
Voluptatem-dolorem-labore.lhs => Voluptatem-dolorem-labore.txt
quiquia-amet-quisquam.lhs => quiquia-amet-quisquam.txt
Est.lhs => Est.txt
adipisci-adipisci.lhs => adipisci-adipisci.txt
modi-neque.lhs => modi-neque.txt
porro.lhs => porro.txt
ut-sit.lhs => ut-sit.txt
modi.lhs => modi.txt
non-sit-Sed.lhs => non-sit-Sed.txt
numquam.lhs => numquam.txt
Neque-sed.lhs => Neque-sed.txt
dolor_1.lhs => dolor_1.txt
dolor.-Modi-sit.lhs => dolor.-Modi-sit.txt
adipisci.-labore-etincidunt.lhs => adipisci.-labore-etincidunt.txt
consectetur.lhs => consectetur.txt
adipisci_1.lhs => adipisci_1.txt
sed.-dolorem.lhs => sed.-dolorem.txt
Quiquia_1.lhs => Quiquia_1.txt
dolor-dolorem.lhs => dolor-dolorem.txt
porro.-Sed.lhs => porro.-Sed.txt
aliquam.lhs => aliquam.txt
ut.lhs => ut.txt
ipsum.lhs => ipsum.txt
sed-ipsum.lhs => sed-ipsum.txt
dolorem.lhs => dolorem.txt
non.lhs => non.txt
quiquia.-consectetur.-dolore.lhs => quiquia.-consectetur.-dolore.txt
amet-labore.lhs => amet-labore.txt
porro-dolorem.lhs => porro-dolorem.txt
sed.-porro.lhs => sed.-porro.txt
Voluptatem-neque.lhs => Voluptatem-neque.txt
adipisci.lhs => adipisci.txt
consectetur-voluptatem-porro.lhs => consectetur-voluptatem-porro.txt
adipisci-non-Neque.lhs => adipisci-non-Neque.txt
labore-Aliquam_1.lhs => labore-Aliquam_1.txt
labore-consectetur.lhs => labore-consectetur.txt
modi-sed.-ipsum.lhs => modi-sed.-ipsum.txt
ipsum-Voluptatem.lhs => ipsum-Voluptatem.txt
Sed_1.lhs => Sed_1.txt
sed-dolore.lhs => sed-dolore.txt
Velit-magnam.lhs => Velit-magnam.txt
velit-velit.lhs => velit-velit.txt
quiquia-velit-porro.lhs => quiquia-velit-porro.txt
quisquam_1.lhs => quisquam_1.txt
tempora.lhs => tempora.txt
sit-quisquam-non.lhs => sit-quisquam-non.txt
quisquam-adipisci.lhs => quisquam-adipisci.txt
consectetur-numquam-voluptatem.lhs => consectetur-numquam-voluptatem.txt
